EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|Hora|geometry
usp2023khdp|2023-05-27 05:07:37.534231|-11.277391|-40.574615|0.0|JROBERTO||USP|usp2023khdp|mR|2.348847366|jroberto|Jacobina/BA|earthquake|5|POINT (-40.574615 -11.277391)
usp2023khah|2023-05-27 03:27:50.270000|-0.384|-60.3965|0.0|MASSUMPCAO||USP|usp2023khah|mR|4.07013431|marcelo|Rorainopolis/RR|earthquake|3|POINT (-60.3965 -0.384)
usp2023kdrt|2023-05-25 07:43:48.994366|-2.974649|-40.845757|0.0|JROBERTO||USP|usp2023kdrt|mR|1.933751592|jroberto|Camocim/CE|earthquake|7|POINT (-40.845757 -2.974649)
usp2023kapb|2023-05-23 14:57:58.837559|-4.109276|-40.635822|0.0|JROBERTO||USP|usp2023kapb|MLv|2.256598113|jroberto|Reriutaba/CE|earthquake|14|POINT (-40.635822 -4.109276)
usp2023jrpy|2023-05-18 17:10:59.642946|-13.446795|-40.426891|0.0|JROBERTO||USP|usp2023jrpy|mR|2.029159279|jroberto|Maracas/BA|earthquake|17|POINT (-40.426891 -13.446795)
usp2023isgw|2023-05-04 20:12:21.313554|-9.412022|-35.829872|0.0|JROBERTO||USP|usp2023isgw|mR|2.072091471|jroberto|Messias/AL|earthquake|20|POINT (-35.829872 -9.412022)
usp2023iryz|2023-05-04 16:13:23.873252|-20.13896|-44.47884|0.0|JROBERTO||USP|usp2023iryz|mR|2.221965946|jroberto|Itatiaiucu/MG|earthquake|16|POINT (-44.47884 -20.13896)
usp2023irrq|2023-05-04 12:30:31.000000|-21.09|-48.68|0.0|MASSUMPCAO||USP|usp2023irrq|MLv|1.218898258|marcelo|Pirangi/SP|earthquake|12|POINT (-48.68 -21.09)
usp2023iows|2023-05-02 23:40:10.181462|-4.151909|-39.06707|0.0|JROBERTO||USP|usp2023iows|mR|1.934265168|jroberto|Caridade/CE|earthquake|23|POINT (-39.06707 -4.151909)
usp2023iirs|2023-04-29 14:19:06.725153|-24.833246|-49.753899|0.0|JROBERTO||USP|usp2023iirs|mR|2.293184632|jroberto|Castro/PR|earthquake|14|POINT (-49.753899 -24.833246)
usp2023hzpi|2023-04-24 14:54:05.952671|-20.332514|-45.614109|0.0|JROBERTO||USP|usp2023hzpi|mR|2.761214062|jroberto|Pains/MG|earthquake|14|POINT (-45.614109 -20.332514)
usp2023hzly|2023-04-24 13:10:28.611938|-4.235894|-39.190056|0.0|JROBERTO||USP|usp2023hzly|mR|2.208544942|jroberto|Caridade/CE|earthquake|13|POINT (-39.190056 -4.235894)
