ID,Hora de Origem (UTC),Longitude,Latitude,MLv,Distance,Folder,Cat,Certainty
usp2014kglr,2014-05-26T20:04:35.540091Z,-43.85284805,-16.74861526,1.58289898,193.40032665880008,20140526T200435,earthquake,suspected
usp2014oetr,2014-07-21T19:58:48.442935Z,-43.87852478,-16.6911335,1.563464943,186.5541279912255,20140721T195848,earthquake,known
usp2014oilj,2014-07-23T20:20:13.262743Z,-43.87012482,-16.75123978,1.62722316,193.22068287446731,20140723T202013,earthquake,suspected
usp2014pdaq,2014-08-04T02:46:34.000000Z,-50.8613,-29.464,1.567319067,16.55588177955947,20140804T024634,earthquake,known
usp2014wgvi,2014-11-13T19:22:20.000000Z,-64.6522,-9.2738,1.55546345,181.6488245288008,20141113T192220,earthquake,known
usp2015mdzc,2015-06-22T22:31:08.560591Z,-43.87394333,-16.75398445,1.62317473,172.0136509502423,20150622T223108,earthquake,suspected
usp2016avbr,2016-01-12T12:42:09.209226Z,-51.15063858,-23.29897308,1.623588968,180.22643205167248,20160112T124209,earthquake,known
usp2016awdz,2016-01-13T02:59:37.441822Z,-39.14731598,-15.29853725,1.607631832,300.4355803537206,20160113T025937,earthquake,suspected
usp2016cmdy,2016-02-05T02:41:44.012881Z,-39.45877075,-13.054039,1.604068768,207.64770856476986,20160205T024144,earthquake,known
usp2016duik,2016-02-23T19:34:01.464919Z,-36.13797379,-8.310874939,1.622870091,347.57158360504894,20160223T193401,earthquake,known
usp2016mqok,2016-06-28T19:53:05.827165Z,-35.84433365,-9.388420105,1.626207123,277.2804257300403,20160628T195305,earthquake,known
usp2016mukm,2016-06-30T22:26:41.120766Z,-45.28835297,-22.77757835,1.620531263,91.07923091571456,20160630T222641,earthquake,known
usp2016pizq,2016-08-06T09:04:09.376509Z,-56.80950546,-11.55229855,1.594448284,133.72159676731204,20160806T090409,earthquake,suspected
usp2016sddm,2016-09-14T20:48:36.348367Z,-36.25525284,-9.30150795,1.568602538,251.4659038768177,20160914T204836,earthquake,suspected
usp2016sdom,2016-09-15T02:21:46.074640Z,-36.26157761,-9.410883904,1.562188754,242.10368242092235,20160915T022146,earthquake,suspected
usp2017aequ,2017-01-03T13:02:07.000000Z,-43.93,-3.34,1.626731352,53.5794719634227,20170103T130207,earthquake,known
usp2017pbnu,2017-08-03T07:08:13.020400Z,-56.71448135,-11.64448738,1.615194684,131.62819987495976,20170803T070813,earthquake,known
usp2017qebd,2017-08-18T21:41:04.819012Z,-44.23310089,-22.89570618,1.592457236,106.0888194505616,20170818T214104,earthquake,known
usp2018hszp,2018-04-21T00:08:24.686638Z,-56.81691742,-11.58617592,1.62612788,136.516704848981,20180421T000824,earthquake,suspected
usp2018kykw,2018-06-05T16:07:17.308407Z,-46.89689636,-23.77689552,1.616568319,163.80137812066025,20180605T160717,earthquake,suspected
usp2018nlvh,2018-07-11T11:12:50.129063Z,-56.73712158,-11.70239449,1.588598936,137.6938362625462,20180711T111250,earthquake,suspected
usp2018vscp,2018-11-05T18:00:19.969999Z,-37.15433333,-9.872166667,1.597407788,221.15799107640896,20181105T180019,earthquake,suspected
usp2019fjsu,2019-03-18T11:24:02.334085Z,-36.63494492,-9.961771965,1.62693253,203.83328227693679,20190318T112402,earthquake,known
usp2019hlbl,2019-04-16T15:58:52.047233Z,-51.11289978,-23.36604691,1.598738633,175.72750136664715,20190416T155852,earthquake,suspected
usp2019icng,2019-04-26T05:15:37.303710Z,-39.43362808,-13.00606155,1.629521978,260.61174662475037,20190426T051537,earthquake,known
usp2019xuxp,2019-12-05T17:57:53.783607Z,-56.71784592,-11.69629192,1.631800732,135.6783262914169,20191205T175753,earthquake,known
