evid,origin,longitude,latitude,depth,magnitude,magnitudet,region,author,mode,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
usp2023jcpm,2023-05-10 11:55:13.841000+00:00,-48610,-20966,0.0,2.3,mR,MonteA.Paulista rg.da zona rural/SP,jroberto,M,,,,,
usp2023izkq,2023-05-08 18:03:15.369000+00:00,-40540,-11190,0.0,2.3,mR,Jacobina/BA,jroberto,M,,,,,
usp2023ivdo,2023-05-06 09:56:59+00:00,-48480,-21270,0.0,1.0,MLv,Monte Alto/SP,marcelo,M,,,,,
usp2023isgw,2023-05-04 20:12:21.313000+00:00,-35830,-9412,0.0,2.1,mR,Messias/AL,jroberto,M,,,,,
usp2023isdw,2023-05-04 18:41:11.527000+00:00,-51448,-14227,0.0,2.5,mR,Nova Nazare/MT,jroberto,M,,,,,
usp2023isbu,2023-05-04 17:38:11+00:00,-57456,-26510,0.0,3.0,mR,Paraguay,marcelo,M,,,,,
usp2023iryz,2023-05-04 16:13:23.873000+00:00,-44479,-20139,0.0,2.2,mR,Itatiaiucu/MG,jroberto,M,,,,,
usp2023irrq,2023-05-04 12:30:31+00:00,-48680,-21090,0.0,1.2,MLv,Pirangi/SP,marcelo,M,,,,,
usp2023iqzg,2023-05-04 03:13:38.862000+00:00,-41259,-17464,0.0,1.7,mR,Novo Oriente de Minas/MG,jroberto,M,,,,,
usp2023iqly,2023-05-03 20:57:58.936000+00:00,-44243,-19502,0.0,2.1,mR,Sete Lagoas/MG,jroberto,M,,,,,
usp2023iqib,2023-05-03 18:32:21.650000+00:00,-39113,-13957,0.0,2.1,mR,Camamu/BA,jroberto,M,,,,,
usp2023ipgr,2023-05-03 04:41:29.031000+00:00,-48795,-20045,0.0,2.4,mR,Rg. da Divisa Frutal/Planura-MG,jroberto,M,,,,,
usp2023iows,2023-05-02 23:40:10.181000+00:00,-39067,-4152,0.0,1.9,mR,Caridade/CE,jroberto,M,,,,,
usp2023iohg,2023-05-02 15:51:17.209000+00:00,-50638,-14012,0.0,3.0,mR,Nova Crixas/GO,jroberto,M,,,,,
usp2023imje,2023-05-01 14:33:23.192000+00:00,-50170,-16285,0.0,2.3,mR,Adelandia/GO,jroberto,M,,,,,
usp2023imgy,2023-05-01 13:26:08.146000+00:00,-38933,-4098,0.0,2.2,mR,Palmacia/CE,jroberto,M,,,,,
usp2023ikjd,2023-04-30 12:16:04.697000+00:00,-40877,-2851,0.0,2.1,mR,Camocim/CE,jroberto,M,,,,,
usp2023iirs,2023-04-29 14:19:06.725000+00:00,-49754,-24833,0.0,2.3,mR,Castro/PR,jroberto,M,,,,,
usp2023iefu,2023-04-27 03:44:54.805000+00:00,-39899,-9869,0.0,2.3,mR,Uaua/BA,jroberto,M,,,,,
usp2023ibtv,2023-04-25 19:26:47.163000+00:00,-39484,-3882,0.0,2.3,mR,Apuiares/CE,jroberto,M,,,,,
usp2023iafm,2023-04-24 23:03:38+00:00,-48480,-21270,0.0,1.0,MLv,Monte Alto/SP,marcelo,M,,,,,
usp2023iaaz,2023-04-24 20:46:21.812000+00:00,-52585,-31800,0.0,2.2,mR,Capao do Leao/RS,jroberto,M,,,,,
usp2023hzyb,2023-04-24 19:18:18+00:00,-48604,-20973,0.0,1.8,MLv,MonteA.Paulista/rg.Zona Rural,jroberto,M,,,,,
usp2023hzpi,2023-04-24 14:54:05.952000+00:00,-45614,-20333,0.0,2.8,mR,Pains/MG,jroberto,M,,,,,
usp2023hzly,2023-04-24 13:10:28.611000+00:00,-39190,-4236,0.0,2.2,mR,Caridade/CE,jroberto,M,,,,,
usp2023hzda,2023-04-24 08:41:01.628000+00:00,-39034,-4135,0.0,1.8,mR,Pacoti/CE,jroberto,M,,,,,
usp2023hxei,2023-04-23 07:04:15.830000+00:00,-39075,-4135,0.0,1.7,mR,Caridade/CE,jroberto,M,,,,,
usp2023hwkg,2023-04-22 20:55:36.887000+00:00,-41130,-13484,0.0,2.2,mR,Ibicoara/BA,jroberto,M,,,,,
usp2023hvic,2023-04-22 06:42:10.244000+00:00,-43834,-20664,0.0,2.3,mR,Conselheiro Lafaiete/MG,jroberto,M,,,,,
usp2023htmn,2023-04-21 06:40:00.407000+00:00,-47845,-3795,0.0,3.1,mR,Ulianopolis/PA,jroberto,M,,,,,
usp2023htdq,2023-04-21 02:10:37.871000+00:00,-48798,-20052,0.0,2.7,mR,Rg. da Divisa Frutal/Planura-MG,jroberto,M,,,,,
usp2023hsld,2023-04-20 16:49:19.866000+00:00,-43768,-20602,0.0,2.4,mR,Conselheiro Lafaiete/MG,jroberto,M,,,,,
usp2023hrvh,2023-04-20 08:49:31.580000+00:00,-48841,-20035,0.0,2.6,mR,Frutal/MG,jroberto,M,,,,,
usp2023honv,2023-04-18 13:38:23.435000+00:00,-36664,-9649,0.0,2.1,MLv,Coite do Noia/AL,jroberto,M,,,,,
usp2023hlyi,2023-04-17 03:32:37.871000+00:00,-45170,-18826,0.0,1.9,mR,Felixlandia/MG,jroberto,M,,,,,
usp2023hjuw,2023-04-15 23:31:00+00:00,-48660,-21090,0.0,1.1,MLv,Pirangi/SP,marcelo,M,,,,,
