event,label_cat,mag,lat,lon,pred,prob_nat
20200622181435,0,-0.02393996692,-27.82137763,-51.20216261,0,0.839
20200621090755,0,-0.1353145332,-27.61951975,-51.42016784,0,0.965
20200616170000,1,0.7939007806,-27.21519122,-52.0718921,1,0.265
20200615123425,0,0.06507094148,-27.73073011,-51.28051509,0,0.817
20200612201206,0,0.3750465213,-27.23924197,-52.09375286,1,0.221
20200612200810,1,0.8883647413,-27.23847643,-52.09133248,0,0.578
20200612024614,0,-0.7070096152,-27.28204247,-52.17491791,0,0.994
20200611093833,1,0.0672416517,-27.21209329,-52.1067231,1,0.085
20200610212404,0,-0.51256916,-27.68026915,-51.24333539,0,0.981
20200610204548,0,0.1818035582,-27.28054109,-52.14844922,0,0.963
20200608100749,0,0.03485342733,-27.27870781,-52.1925512,0,0.818
20200605031310,0,-0.5267606068,-27.2710075,-52.14186654,0,0.892
20200602181528,0,-0.347070201,-27.25713641,-52.09461101,1,0.012
20200602172824,0,0.1846291342,-27.2676184,-52.09397563,0,0.945
20200602154821,0,0.03716562936,-27.26183903,-52.10044996,1,0.005
20200602145635,0,-0.1306109475,-27.26596824,-52.102371,1,0.006
20200602092235,0,-0.545673371,-27.26810527,-52.15782947,1,0.037
20200601003856,0,-0.3977352517,-27.27814622,-52.17393863,1,0.008
20200528184830,1,0.4603853547,-27.2306,-51.0286,1,0.031
20200528184755,0,0.4760825401,-27.51734824,-51.15292143,1,0.202
20200511045352,0,-0.5664974127,-27.66822284,-51.3257218,0,0.741
20200506173407,0,-0.8447983814,-27.68715789,-51.33059007,1,0.337
20200505170022,0,-0.5318504527,-27.68505933,-51.34871666,1,0.044
20200504183040,0,-0.337962516,-27.66970457,-51.44600579,0,0.753
20200504174922,0,0.7299807745,-27.68031642,-51.35636116,1,0.155
20200504131231,0,-0.9379283819,-27.67136693,-51.32690963,0,0.791
20200504061311,0,-0.4898287828,-27.67221267,-51.32796629,0,0.651
20200502095840,0,-0.6384651624,-27.70346575,-51.30604242,1,0.184
20200502083738,0,-0.595478876,-27.70449683,-51.30514523,1,0.185
20200502054938,0,-0.5486877512,-27.67056475,-51.32515891,0,0.805
20200430170027,0,2.505803372,-26.14791489,-50.62725449,0,0.949
20200427191433,1,0.200896748,-27.23,-51.0336,0,0.949
20200427191333,0,0.06515752656,-27.51377698,-51.163643,0,0.788
