folder,match_status,sisbra_time,sisbra_lat,sisbra_lon,sisbra_mag,fdsn_event_id,fdsn_origin_time,picks_count
20230224T005629_usp2023duta_row5245,matched,2023-02-24T00:56:29Z,-11.21,-40.6,2.4,usp2023duta,2023-02-24T00:56:29.012814Z,2
20230225T212424_usp2023dydb_row5246,matched,2023-02-25T21:24:25Z,-16.37,-40.55,2.4,usp2023dydb,2023-02-25T21:24:24.822979Z,2
20230226T205444_usp2023dzxo_row5247,matched,2023-02-26T20:54:45Z,-12.7,-38.34,1.9,usp2023dzxo,2023-02-26T20:54:44.683210Z,2
20230227T071709_usp2023easc_row5248,matched,2023-02-27T07:17:10Z,-3.59,-40.54,1.8,usp2023easc,2023-02-27T07:17:09.833790Z,3
20230227T180752_usp2023ebno_row5249,matched,2023-02-27T18:07:53Z,-3.81,-40.66,1.9,usp2023ebno,2023-02-27T18:07:52.987049Z,3
20230227T223027_usp2023ebwf_row5250,matched,2023-02-27T22:30:27Z,-13.5,-44.25,3.4,usp2023ebwf,2023-02-27T22:30:27.039999Z,0
20230228T175421_usp2023ediq_row5251,matched,2023-02-28T17:54:22Z,-13.48,-44.23,2.8,usp2023ediq,2023-02-28T17:54:21.880174Z,0
20230301T132300_row5252,no_match,2023-03-01T13:23:00Z,-3.54,-40.54,2.3,,,0
20230301T154814_usp2023eezz_row5253,matched,2023-03-01T15:48:15Z,-3.68,-40.47,2.4,usp2023eezz,2023-03-01T15:48:14.838493Z,4
20230305T044001_usp2023elly_row5254,matched,2023-03-05T04:40:02Z,-19.06,-43.12,2.1,usp2023elly,2023-03-05T04:40:01.936899Z,5
20230310T152029_usp2023evko_row5255,matched,2023-03-10T15:20:30Z,-10.79,-39.43,2.2,usp2023evko,2023-03-10T15:20:29.857278Z,2
20230311T191943_usp2023exnz_row5256,matched,2023-03-11T19:19:44Z,-3.92,-39.52,2.6,usp2023exnz,2023-03-11T19:19:43.801221Z,5
20230312T183857_row5257,no_match,2023-03-12T18:38:57Z,1.78,-49.48,3.2,,,0
20230314T064621_usp2023fcbq_row5258,matched,2023-03-14T06:46:21Z,-21.31,-48.49,2.2,usp2023fcbq,2023-03-14T06:46:21.151804Z,4
20230314T064720_usp2023fcbr_row5259,matched,2023-03-14T06:47:21Z,-21.29,-48.51,2.0,usp2023fcbr,2023-03-14T06:47:20.528211Z,4
20230314T083412_usp2023fcfe_row5260,matched,2023-03-14T08:34:12Z,-21.09,-48.66,0.8,usp2023fcfe,2023-03-14T08:34:12.000000Z,2
20230314T145718_usp2023fcrv_row5261,matched,2023-03-14T14:57:18Z,-21.06,-48.67,2.2,usp2023fcrv,2023-03-14T14:57:18.248184Z,5
20230315T190241_row5262,no_match,2023-03-15T19:02:41Z,-11.02,-39.32,2.0,,,0
20230316T122351_row5263,no_match,2023-03-16T12:23:51Z,-13.42,-44.82,3.0,,,0
20230317T011107_usp2023fhdb_row5264,matched,2023-03-17T01:11:08Z,-3.24,-40.53,2.3,usp2023fhdb,2023-03-17T01:11:07.973805Z,4
20230317T053407_usp2023fhlt_row5265,matched,2023-03-17T05:34:07Z,-3.56,-40.53,1.4,usp2023fhlt,2023-03-17T05:34:07.160004Z,5
