#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ON|TER01||HH1|-28.531839|-49.129072|315.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2017-08-02T00:00:01|
ON|TER01||HH2|-28.531839|-49.129072|315.0|0.0|116.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2012-07-02T00:00:00|2017-08-02T00:00:01
ON|TER01||HH2|-28.531839|-49.129072|315.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2017-08-02T00:00:01|
ON|TER01||HHZ|-28.531839|-49.129072|315.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2012-07-02T00:00:00|
ON|TIJ01||HHE|-25.908848|-49.024241|1049.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-12-01T00:00:00|2018-09-29T12:00:00
ON|TIJ01||HHE|-25.908848|-49.024241|1049.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2018-09-29T12:00:01|
ON|TIJ01||HHN|-25.908848|-49.024241|1049.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-12-01T00:00:00|2018-09-29T12:00:00
ON|TIJ01||HHN|-25.908848|-49.024241|1049.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2018-09-29T12:00:01|
ON|TIJ01||HHZ|-25.908848|-49.024241|1049.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2011-12-01T00:00:00|2018-09-29T12:00:00
ON|TIJ01||HHZ|-25.908848|-49.024241|1049.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625853000.0|0.05|M/S|100.0|2018-09-29T12:00:01|
ON|TRI01||HHE|-20.50758|-29.31458|26.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2014-10-14T00:00:00|2018-05-20T00:00:00
ON|TRI01||HHE|-20.50758|-29.31458|26.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2018-05-20T00:00:01|
ON|TRI01||HHN|-20.50758|-29.31458|26.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2014-10-14T00:00:00|2018-05-20T00:00:00
ON|TRI01||HHN|-20.50758|-29.31458|26.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2018-05-20T00:00:01|
ON|TRI01||HHZ|-20.50758|-29.31458|26.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2014-10-14T00:00:00|2018-05-20T00:00:00
ON|TRI01||HHZ|-20.50758|-29.31458|26.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2018-05-20T00:00:01|
ON|VAS01||HHE|-22.280081|-43.442624|402.0|0.0|90.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-09-14T00:00:00|2017-04-13T00:00:00
ON|VAS01||HHE|-22.280081|-43.442624|402.0|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-04-13T00:00:01|
ON|VAS01||HHN|-22.280081|-43.442624|402.0|0.0|0.0|0.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-09-14T00:00:00|2017-04-13T00:00:00
ON|VAS01||HHN|-22.280081|-43.442624|402.0|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-04-13T00:00:01|
ON|VAS01||HHZ|-22.280081|-43.442624|402.0|0.0|0.0|-90.0|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|625664000.0|0.05|M/S|100.0|2011-09-14T00:00:00|2017-04-13T00:00:00
ON|VAS01||HHZ|-22.280081|-43.442624|402.0|0.0|0.0|-90.0|STS-2.5, 120s, 1500 V/m/s-Q330SR, gain 1, 100 sps,|629145000.0|0.05|M/S|100.0|2017-04-13T00:00:01|
